name_shop,geo3x3,Latitude,Longitude
きものサロンまるよ,E91387322936977,35.946384376539,136.186261890852
フラワーショップhanahiro,E9138732293396,35.9464640076989,136.186698996907
久保田酒店,E91387323478188,35.9444852669891,136.187284198079
舟津神社,E9138732344159,35.9389166320089,136.18617092642
富士書店,E91387322699884,35.9443446411181,136.186008370598
Hana道場,E91387322933611,35.9447944415934,136.186269084091
本山 誠照寺,E913873229379,35.9476522799814,136.184511348785
アジアンリラックス ワイテァ,E91387323473757,35.9422789311543,136.188705511078
サイトカナモノ,E91387322939257,35.9466614366677,136.186018497585
恵美写真館洋館,E91387322939618,35.9469017503602,136.186225641763
エルザスコーヒー,E91387322936265,35.9455543246732,136.186175455256
松阜神社,E9138732371213,35.9444466409274,136.18806184546
Gallery LOOK,E91387322933882,35.9451434138416,136.186083782037
昭和堂,E91387322699881,35.9440991999501,136.18600554164
天喰家,E91387322699861,35.9439774157035,136.186178446153
旬亭まつや,E91387322933271,35.9445219437973,136.185901798939
植田家長屋門,E91387323711595,35.9449683258329,136.18719182642
ニシザワ紙文具,E9138732293394,35.9449820058973,136.18625841773
ミート＆デリカささき,E91387322939171,35.9466017546375,136.185576807971
地蔵橋,E91387322969718,35.9501211620405,136.18560732781
料亭 中松,E91387323711269,35.9445385861484,136.18714282937
王山古墳群,E91387322665,35.9395791635517,136.184802455256
車の道場（上野別堂）,E9138732266618,35.939779919969,136.185714751262
立ち呑みゴールデン,E91387322935661,35.9457150149422,136.18564802093
鯖江駅眼鏡,E91387323476746,35.943191541463,136.188634072526